id;code;codein;name;high;low;varbid;pctchange;bid;ask;create_date
13000;USD;BRL;Dólar Americano/Real Brasileiro;5.2273;5.1596;-0.0454;-0.87;5.1692;5.1702;2023-02-13 20:56:52.935929
13001;USD;BRLT;Dólar Americano/Real Brasileiro Turismo;5.25;5.185;-0.045;-0.86;5.05;5.36;2023-02-13 20:56:52.935929
13002;CAD;BRL;Dólar Canadense/Real Brasileiro;3.9179;3.8665;-0.0299;-0.77;3.8765;3.8776;2023-02-13 20:56:52.935929
13003;EUR;BRL;Euro/Real Brasileiro;5.581;5.5254;-0.0244;-0.44;5.5411;5.5442;2023-02-13 20:56:52.935929
13004;GBP;BRL;Libra Esterlina/Real Brasileiro;6.313;6.2536;-0.0149;-0.24;6.2707;6.2764;2023-02-13 20:56:52.935929
13005;ARS;BRL;Peso Argentino/Real Brasileiro;0.0274;0.0269;-0.0004;-1.46;0.027;0.027;2023-02-13 20:56:52.935929
13006;BTC;BRL;Bitcoin/Real Brasileiro;115507;111524;-2908;-2.52;112599;112599;2023-02-13 20:56:52.935929
13007;LTC;BRL;Litecoin/Real Brasileiro;495.72;460;-27.83;-5.62;467.19;468.14;2023-02-13 20:56:52.935929
13008;JPY;BRL;Iene Japonês/Real Brasileiro;0.03964;0.03889;-0.0005;-1.26;0.03906;0.03909;2023-02-13 20:56:52.935929
13009;CHF;BRL;Franco Suíço/Real Brasileiro;5.6652;5.6063;-0.0202;-0.36;5.6219;5.6256;2023-02-13 20:56:52.935929
13010;AUD;BRL;Dólar Australiano/Real Brasileiro;3.6242;3.5882;-0.0028;-0.08;3.6031;3.6049;2023-02-13 20:56:52.935929
13011;CNY;BRL;Yuan Chinês/Real Brasileiro;0.7655;0.7561;-0.0081;-1.06;0.7578;0.7579;2023-02-13 20:56:52.935929
13012;ILS;BRL;Novo Shekel Israelense/Real Brasileiro;1.4781;1.4636;-0.0046;-0.31;1.4709;1.4711;2023-02-13 20:56:52.935929
13013;ETH;BRL;Ethereum/Real Brasileiro;8068.48;7631.85;-341.37;-4.23;7727.15;7771.05;2023-02-13 20:56:52.935929
13014;XRP;BRL;XRP/Real Brasileiro;2.02;1.9;-0.08;-3.79;1.93;1.94;2023-02-13 20:56:52.935929
